parameter,compound,imp_old,rank_old,imp_new,rank_new,rho_old,rho_new
gr,(NH4)2SO4_(mM),0.0105345359780897,10,0.0105345359780897,10,-0.3370461265622415,-0.3370461265622415
gr,Alanine_(mM),0.0015435877338142,18,0.0015435877338142,18,0.7335237734582634,0.7335237734582634
gr,AminobenzoicAcid_(mM),0.0018307038740468,16,0.0018307038740468,16,0.2339079771799117,0.2339079771799117
gr,Arginine/HCl_(mM),0.0008242710366475,27,0.0008242710366475,27,0.5867068309220093,0.5867068309220093
gr,Asparagine/H2O_(mM),6.632775777620148e-05,42,6.632775777620148e-05,42,-0.1488050990388855,-0.1488050990388855
gr,AsparticAcid_(mM),0.0212405764567619,7,0.0212405764567619,7,-0.2866975893025955,-0.2866975893025955
gr,CaCl2/2H2O_(mM),0.00054274308673,33,0.00054274308673,33,0.0440533356525467,0.0440533356525467
gr,CaSO4/2H2O_(mM),0.0111707149658546,8,0.0111707149658546,8,-0.3525607016084344,-0.3525607016084344
gr,CuSO4/5H2O_(mM),0.0006062003919203,31,0.0006062003919203,31,0.7183266701521649,0.7183266701521649
gr,Cystine/HCl/H2O_(mM),0.0012259198024046,20,0.0012259198024046,20,-0.5047455558662619,-0.5047455558662619
gr,FeSO4/7H2O_(mM),0.0377265284478582,3,0.0377265284478582,3,0.7406421782339365,0.7406421782339365
gr,FolicAcid_(mM),0.0009886895815362,26,0.0009886895815362,26,-0.6727237103632897,-0.6727237103632897
gr,Glucose_(mM),0.7070676296902314,1,0.7070676296902314,1,0.7726609703521667,0.7726609703521667
gr,GlutamicAcid/HCl_(mM),0.0019865436783678,15,0.0019865436783678,15,0.7416230571643105,0.7416230571643105
gr,Glutamine_(mM),0.0007778522084219,28,0.0007778522084219,28,0.6038527148119517,0.6038527148119517
gr,Glycine_(mM),0.0007308886907861,29,0.0007308886907861,29,-0.4725900445229002,-0.4725900445229002
gr,H3BO3_(mM),0.0003166931447848,37,0.0003166931447848,37,-0.1538494787816489,-0.1538494787816489
gr,Histidine/HCl/H2O_(mM),0.0011555605575765,23,0.0011555605575765,23,-0.4561147792530358,-0.4561147792530358
gr,Isoleucine_(mM),0.0306758742447237,4,0.0306758742447237,4,-0.0797873544527352,-0.0797873544527352
gr,K2HPO4_(mM),0.0289987321314529,5,0.0289987321314529,5,0.5368521296941439,0.5368521296941439
gr,KCl_(mM),4.258553191946495e-05,43,4.258553191946495e-05,43,-0.1024315206587866,-0.1024315206587866
gr,KH2PO4_(mM),0.011019939403372,9,0.011019939403372,9,-0.0161601704757187,-0.0161601704757187
gr,Leucine_(mM),0.0061364163257013,11,0.0061364163257013,11,0.0633862312971757,0.0633862312971757
gr,Lysine/HCl_(mM),0.0010389306980137,24,0.0010389306980137,24,0.6157359428668463,0.6157359428668463
gr,Methionine_(mM),0.0016503380530174,17,0.0016503380530174,17,-0.1003289389689464,-0.1003289389689464
gr,MgCl2/6H2O_(mM),0.0034420310521879,13,0.0034420310521879,13,0.5300889183222937,0.5300889183222937
gr,MgSO4/7H2O_(mM),0.0036232354538758,12,0.0036232354538758,12,0.0344473349003583,0.0344473349003583
gr,NH4Cl_(mM),0.0003083955921535,38,0.0003083955921535,38,0.5995717858144635,0.5995717858144635
gr,Na2HPO4_(mM),0.0011619662702709,22,0.0011619662702709,22,-0.5220567439644945,-0.5220567439644945
gr,Na2MoO4/2H2O_(mM),0.000539238353701,34,0.000539238353701,34,0.6076161824065918,0.6076161824065918
gr,Na2S2O3/5H2O_(mM),0.0007148751375069,30,0.0007148751375069,30,0.0817612894062358,0.0817612894062358
gr,Na3C6H5O7/2H2O_(mM),0.0748700178908437,2,0.0748700178908437,2,0.5828575988923577,0.5828575988923577
gr,NaCl_(mM),0.0002717398109213,39,0.0002717398109213,39,0.6570870349292107,0.6570870349292107
gr,Phenylalanine_(mM),0.0002133538301569,41,0.0002133538301569,41,-0.27198875273188,-0.27198875273188
gr,Proline_(mM),0.0011823701737111,21,0.0011823701737111,21,0.5446615328589606,0.5446615328589606
gr,Pyridoxine_(mM),0.0002597457426957,40,0.0002597457426957,40,-0.1391642251876992,-0.1391642251876992
gr,Riboflavin_(mM),0.0003687773470443,36,0.0003687773470443,36,0.5380963546499743,0.5380963546499743
gr,Serine_(mM),0.0003734514934385,35,0.0003734514934385,35,0.0326236213802751,0.0326236213802751
gr,Thiamine/HCl_(mM),2.3235007883270338e-05,44,2.3235007883270338e-05,44,-0.2892493756112191,-0.2892493756112191
gr,Threonine_(mM),0.0010180969943332,25,0.0010180969943332,25,0.3269882453403765,0.3269882453403765
gr,Tryptophan_(mM),0.0020232205204505,14,0.0020232205204505,14,-0.0982053130733296,-0.0982053130733296
gr,Tyrosine_(mM),0.0013788689350009,19,0.0013788689350009,19,0.5924536317302415,0.5924536317302415
gr,Valine_(mM),0.0277346839710501,6,0.0277346839710501,6,0.5260039740679738,0.5260039740679738
gr,ZuSO4/7H2O_(mM),0.0005939129509632,32,0.0005939129509632,32,0.3766045844551084,0.3766045844551084
lag,(NH4)2SO4_(mM),0.0475405283026543,9,0.007010403234057,23,-0.1648076639011724,0.2009951722293851
lag,Alanine_(mM),0.0020165865512306,39,0.0025303788884713,33,-0.4387524801972692,0.4266989389482664
lag,AminobenzoicAcid_(mM),0.0192057546425509,11,0.0374139491884911,6,0.3526022239991844,-0.3823639681982915
lag,Arginine/HCl_(mM),0.0149665863751705,14,0.0079399005896932,20,-0.5832549386873076,0.5920533496611471
lag,Asparagine/H2O_(mM),0.0048724335137002,30,0.0142719449160366,11,-0.3249968278666285,0.3593245272630861
lag,AsparticAcid_(mM),0.0032585872826498,35,0.0003791111926769,39,-0.185321743551321,0.2245982529580638
lag,CaCl2/2H2O_(mM),0.0027768935887577,36,0.0114114360119711,13,-0.3817432551496061,0.4127240495653127
lag,CaSO4/2H2O_(mM),0.0665549684330284,5,2.5734678327216985e-05,41,-0.2691257385923086,0.3060163577609561
lag,CuSO4/5H2O_(mM),0.0112868633993451,17,0.0024132938751912,35,-0.3799792770547979,0.3666829090783878
lag,Cystine/HCl/H2O_(mM),0.0108538704082391,18,0.0115526408550738,12,0.6783746720773884,-0.6768759525371512
lag,FeSO4/7H2O_(mM),0.0159281940887975,12,0.0064005179243102,26,-0.3842689853913256,0.3683807024268272
lag,FolicAcid_(mM),0.0021678856926441,38,0.0001670629400307,40,0.4839865578892489,-0.4646966540672834
lag,Glucose_(mM),0.0061765088927462,27,0.0028434783730123,32,-0.4147366977407364,0.3941694921911695
lag,GlutamicAcid/HCl_(mM),0.0113733440797638,16,0.0104892335114213,14,-0.4527235190392312,0.4401556605119946
lag,Glutamine_(mM),0.0043626385534839,31,2.118280714590185e-05,42,-0.6566236556137256,0.6648157868081266
lag,Glycine_(mM),0.0062068082747336,25,0.0071462757732446,22,0.096768282868732,-0.0657250292106126
