compound,importance
Valine_(mM),0.21896635701375322
MgCl2/6H2O_(mM),0.20082281951669362
Riboflavin_(mM),0.08950890022735974
MgSO4/7H2O_(mM),0.06448339482914137
Na3C6H5O7/2H2O_(mM),0.05953908572445505
Histidine/HCl/H2O_(mM),0.05419036871422126
K2HPO4_(mM),0.05345117648289991
Glucose_(mM),0.03149290223269235
FolicAcid_(mM),0.020836759182341326
(NH4)2SO4_(mM),0.019368823110324774
NH4Cl_(mM),0.016408772854446543
Isoleucine_(mM),0.015984376599319467
FeSO4/7H2O_(mM),0.014010369062742375
Na2HPO4_(mM),0.012652762223151006
CaSO4/2H2O_(mM),0.010551033093793336
KH2PO4_(mM),0.009997109380455362
Leucine_(mM),0.009091710009611549
Asparagine/H2O_(mM),0.00809636550142455
CaCl2/2H2O_(mM),0.007728774435185093
Na2S2O3/5H2O_(mM),0.007677179267817355
Proline_(mM),0.0057576932153260985
AminobenzoicAcid_(mM),0.005383063356025702
Thiamine/HCl_(mM),0.004880083326995412
Alanine_(mM),0.00482050925425323
Glycine_(mM),0.004684910447749284
NaCl_(mM),0.004206276162799981
CuSO4/5H2O_(mM),0.00417588527401396
Na2MoO4/2H2O_(mM),0.00416095136603976
H3BO3_(mM),0.00414241144480107
GlutamicAcid/HCl_(mM),0.003981219470376311
Serine_(mM),0.0036149831684906433
AsparticAcid_(mM),0.0035943920260219702
ZuSO4/7H2O_(mM),0.0033537970933175615
Tryptophan_(mM),0.0031271462703968416
Phenylalanine_(mM),0.0030635568844932406
Tyrosine_(mM),0.0028778186279106405
Lysine/HCl_(mM),0.0028011386931006232
Glutamine_(mM),0.001635346077652385
Threonine_(mM),0.001096776447917726
Cystine/HCl/H2O_(mM),0.001001610628149736
KCl_(mM),0.000973979438861138
Pyridoxine_(mM),0.0006813586048548988
Methionine_(mM),0.0006771534054233031
Arginine/HCl_(mM),0.00044889985319934895
