compound,importance
KH2PO4_(mM),0.11970020782322303
K2HPO4_(mM),0.11750059962581497
Isoleucine_(mM),0.11504054103640021
MgSO4/7H2O_(mM),0.10322122490329332
CaSO4/2H2O_(mM),0.06655496843302844
Na2HPO4_(mM),0.05729548831007087
Histidine/HCl/H2O_(mM),0.05480309556168671
Phenylalanine_(mM),0.053038679333619235
(NH4)2SO4_(mM),0.04754052830265435
ZuSO4/7H2O_(mM),0.03544790343259027
AminobenzoicAcid_(mM),0.01920575464255099
FeSO4/7H2O_(mM),0.015928194088797577
H3BO3_(mM),0.015028392596034704
Arginine/HCl_(mM),0.014966586375170555
Serine_(mM),0.013536861040479194
GlutamicAcid/HCl_(mM),0.011373344079763863
CuSO4/5H2O_(mM),0.011286863399345136
Cystine/HCl/H2O_(mM),0.010853870408239128
Methionine_(mM),0.009908075945630581
NH4Cl_(mM),0.00951161506582783
Na2MoO4/2H2O_(mM),0.008733411116518713
Tyrosine_(mM),0.007820954496251687
Leucine_(mM),0.00699298464843365
Valine_(mM),0.006301608512723967
Glycine_(mM),0.006206808274733669
Proline_(mM),0.006193017356979149
Glucose_(mM),0.006176508892746254
Threonine_(mM),0.0060612027843744126
Lysine/HCl_(mM),0.0049642059648472405
Asparagine/H2O_(mM),0.004872433513700247
Glutamine_(mM),0.0043626385534839204
Na3C6H5O7/2H2O_(mM),0.004136976608598074
KCl_(mM),0.0034678210169440658
Na2S2O3/5H2O_(mM),0.003278443264913316
AsparticAcid_(mM),0.003258587282649849
CaCl2/2H2O_(mM),0.002776893588757767
Tryptophan_(mM),0.002290828450330825
FolicAcid_(mM),0.0021678856926441365
Alanine_(mM),0.0020165865512306314
Thiamine/HCl_(mM),0.0018932593424053617
MgCl2/6H2O_(mM),0.0013139851572023789
Riboflavin_(mM),0.0012260925368906145
Pyridoxine_(mM),0.001063115257788749
NaCl_(mM),0.0006809567306301354
